LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,TotalSF,Age,RemodAge,GarageAge
65.0,8450,196.0,706.0,0.0,150.0,856.0,856,0,1710,548.0,0,61,0,0,0,0,0,2566.0,16,16,16.0
80.0,9600,0.0,978.0,0.0,284.0,1262.0,1262,0,1262,460.0,298,0,0,0,0,0,0,2524.0,43,43,43.0
68.0,11250,162.0,486.0,0.0,434.0,920.0,920,0,1786,608.0,0,42,0,0,0,0,0,2706.0,18,17,18.0
60.0,9550,0.0,216.0,0.0,540.0,756.0,961,0,1717,642.0,0,35,272,0,0,0,0,2473.0,104,49,21.0
84.0,14260,350.0,655.0,0.0,490.0,1145.0,1145,0,2198,836.0,192,84,0,0,0,0,0,3343.0,19,19,19.0
85.0,14115,0.0,732.0,0.0,64.0,796.0,796,0,1362,480.0,40,30,0,320,0,0,700,2158.0,26,24,26.0
75.0,10084,186.0,1369.0,0.0,317.0,1686.0,1694,0,1694,636.0,255,57,0,0,0,0,0,3380.0,15,14,15.0
80.0,10382,240.0,859.0,32.0,216.0,1107.0,1107,0,2090,484.0,235,204,228,0,0,0,350,3197.0,46,46,46.0
51.0,6120,0.0,0.0,0.0,952.0,952.0,1022,0,1774,468.0,90,0,205,0,0,0,0,2726.0,88,69,88.0
50.0,7420,0.0,851.0,0.0,140.0,991.0,1077,0,1077,205.0,0,4,0,0,0,0,0,2068.0,80,69,80.0
70.0,11200,0.0,906.0,0.0,134.0,1040.0,1040,0,1040,384.0,0,0,0,0,0,0,0,2080.0,54,54,54.0
85.0,11924,286.0,998.0,0.0,177.0,1175.0,1182,0,2324,736.0,147,21,0,0,0,0,0,3499.0,14,13,14.0
72.0,12968,0.0,737.0,0.0,175.0,912.0,912,0,912,352.0,140,0,0,0,176,0,0,1824.0,57,57,57.0
91.0,10652,306.0,0.0,0.0,1494.0,1494.0,1494,0,1494,840.0,160,33,0,0,0,0,0,2988.0,13,12,13.0
73.0,10920,212.0,733.0,0.0,520.0,1253.0,1253,0,1253,352.0,0,213,176,0,0,0,0,2506.0,59,59,59.0
51.0,6120,0.0,0.0,0.0,832.0,832.0,854,0,854,576.0,48,112,0,0,0,0,0,1686.0,90,18,28.0
73.0,11241,180.0,578.0,0.0,426.0,1004.0,1004,0,1004,480.0,0,0,0,0,0,0,700,2008.0,49,49,49.0
72.0,10791,0.0,0.0,0.0,0.0,0.0,1296,0,1296,516.0,0,0,0,0,0,0,500,1296.0,52,52,52.0
66.0,13695,0.0,646.0,0.0,468.0,1114.0,1114,0,1114,576.0,0,102,0,0,0,0,0,2228.0,15,15,15.0
70.0,7560,0.0,504.0,0.0,525.0,1029.0,1339,0,1339,294.0,0,0,0,0,0,0,0,2368.0,61,54,61.0
101.0,14215,380.0,0.0,0.0,1158.0,1158.0,1158,0,2376,853.0,240,154,0,0,0,0,0,3534.0,14,13,14.0
57.0,7449,0.0,0.0,0.0,637.0,637.0,1108,0,1108,280.0,0,0,205,0,0,0,0,1745.0,89,69,89.0
75.0,9742,281.0,0.0,0.0,1777.0,1777.0,1795,0,1795,534.0,171,159,0,0,0,0,0,3572.0,17,17,17.0
44.0,4224,0.0,840.0,0.0,200.0,1040.0,1060,0,1060,572.0,100,110,0,0,0,0,0,2100.0,43,43,43.0
72.0,8246,0.0,188.0,668.0,204.0,1060.0,1060,0,1060,270.0,406,90,0,0,0,0,0,2120.0,51,18,51.0
110.0,14230,640.0,0.0,0.0,1566.0,1566.0,1600,0,1600,890.0,0,56,0,0,0,0,0,3166.0,12,12,12.0
60.0,7200,0.0,234.0,486.0,180.0,900.0,900,0,900,576.0,222,32,0,0,0,0,0,1800.0,68,19,14.0
98.0,11478,200.0,1218.0,0.0,486.0,1704.0,1704,0,1704,772.0,0,50,0,0,0,0,0,3408.0,12,11,11.0
47.0,16321,0.0,1277.0,0.0,207.0,1484.0,1600,0,1600,319.0,288,258,0,0,0,0,0,3084.0,62,22,62.0
60.0,6324,0.0,0.0,0.0,520.0,520.0,520,0,520,240.0,49,0,87,0,0,0,0,1040.0,92,69,99.0
50.0,8500,0.0,0.0,0.0,649.0,649.0,649,0,1317,250.0,0,54,172,0,0,0,0,1966.0,99,69,99.0
72.0,8544,0.0,0.0,0.0,1228.0,1228.0,1228,0,1228,271.0,0,65,0,0,0,0,0,2456.0,53,13,53.0
85.0,11049,0.0,0.0,0.0,1234.0,1234.0,1234,0,1234,484.0,0,30,0,0,0,0,0,2468.0,12,12,12.0
70.0,10552,0.0,1018.0,0.0,380.0,1398.0,1700,0,1700,447.0,0,38,0,0,0,0,0,3098.0,60,60,60.0
60.0,7313,246.0,1153.0,0.0,408.0,1561.0,1561,0,1561,556.0,203,47,0,0,0,0,0,3122.0,14,14,14.0
108.0,13418,132.0,0.0,0.0,1117.0,1117.0,1132,0,2452,691.0,113,32,0,0,0,0,0,3569.0,15,14,15.0
112.0,10859,0.0,0.0,0.0,1097.0,1097.0,1097,0,1097,672.0,392,64,0,0,0,0,0,2194.0,25,24,24.0
74.0,8532,650.0,1213.0,0.0,84.0,1297.0,1297,0,1297,498.0,0,0,0,0,0,0,0,2594.0,65,29,65.0
68.0,7922,0.0,731.0,0.0,326.0,1057.0,1057,0,1057,246.0,0,52,0,0,0,0,0,2114.0,66,12,66.0
65.0,6040,0.0,0.0,0.0,0.0,0.0,1152,0,1152,0.0,0,0,0,0,0,0,0,1152.0,64,64,2019.0
84.0,8658,101.0,643.0,0.0,445.0,1088.0,1324,0,1324,440.0,0,138,0,0,0,0,0,2412.0,54,54,54.0
