LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,TotalSF,Age,RemodAge
65.0,8450,196.0,706.0,0.0,150.0,856.0,856,0,1710,8,2003.0,548.0,0,61,0,0,0,0,0,2566.0,16,16
80.0,9600,0.0,978.0,0.0,284.0,1262.0,1262,0,1262,6,1976.0,460.0,298,0,0,0,0,0,0,2524.0,43,43
68.0,11250,162.0,486.0,0.0,434.0,920.0,920,0,1786,6,2001.0,608.0,0,42,0,0,0,0,0,2706.0,18,17
60.0,9550,0.0,216.0,0.0,540.0,756.0,961,0,1717,7,1998.0,642.0,0,35,272,0,0,0,0,2473.0,104,49
84.0,14260,350.0,655.0,0.0,490.0,1145.0,1145,0,2198,9,2000.0,836.0,192,84,0,0,0,0,0,3343.0,19,19
85.0,14115,0.0,732.0,0.0,64.0,796.0,796,0,1362,5,1993.0,480.0,40,30,0,320,0,0,700,2158.0,26,24
75.0,10084,186.0,1369.0,0.0,317.0,1686.0,1694,0,1694,7,2004.0,636.0,255,57,0,0,0,0,0,3380.0,15,14
80.0,10382,240.0,859.0,32.0,216.0,1107.0,1107,0,2090,7,1973.0,484.0,235,204,228,0,0,0,350,3197.0,46,46
51.0,6120,0.0,0.0,0.0,952.0,952.0,1022,0,1774,8,1931.0,468.0,90,0,205,0,0,0,0,2726.0,88,69
50.0,7420,0.0,851.0,0.0,140.0,991.0,1077,0,1077,5,1939.0,205.0,0,4,0,0,0,0,0,2068.0,80,69
70.0,11200,0.0,906.0,0.0,134.0,1040.0,1040,0,1040,5,1965.0,384.0,0,0,0,0,0,0,0,2080.0,54,54
85.0,11924,286.0,998.0,0.0,177.0,1175.0,1182,0,2324,11,2005.0,736.0,147,21,0,0,0,0,0,3499.0,14,13
72.0,12968,0.0,737.0,0.0,175.0,912.0,912,0,912,4,1962.0,352.0,140,0,0,0,176,0,0,1824.0,57,57
91.0,10652,306.0,0.0,0.0,1494.0,1494.0,1494,0,1494,7,2006.0,840.0,160,33,0,0,0,0,0,2988.0,13,12
73.0,10920,212.0,733.0,0.0,520.0,1253.0,1253,0,1253,5,1960.0,352.0,0,213,176,0,0,0,0,2506.0,59,59
51.0,6120,0.0,0.0,0.0,832.0,832.0,854,0,854,5,1991.0,576.0,48,112,0,0,0,0,0,1686.0,90,18
73.0,11241,180.0,578.0,0.0,426.0,1004.0,1004,0,1004,5,1970.0,480.0,0,0,0,0,0,0,700,2008.0,49,49
72.0,10791,0.0,0.0,0.0,0.0,0.0,1296,0,1296,6,1967.0,516.0,0,0,0,0,0,0,500,1296.0,52,52
66.0,13695,0.0,646.0,0.0,468.0,1114.0,1114,0,1114,6,2004.0,576.0,0,102,0,0,0,0,0,2228.0,15,15
70.0,7560,0.0,504.0,0.0,525.0,1029.0,1339,0,1339,6,1958.0,294.0,0,0,0,0,0,0,0,2368.0,61,54
101.0,14215,380.0,0.0,0.0,1158.0,1158.0,1158,0,2376,9,2005.0,853.0,240,154,0,0,0,0,0,3534.0,14,13
57.0,7449,0.0,0.0,0.0,637.0,637.0,1108,0,1108,6,1930.0,280.0,0,0,205,0,0,0,0,1745.0,89,69
75.0,9742,281.0,0.0,0.0,1777.0,1777.0,1795,0,1795,7,2002.0,534.0,171,159,0,0,0,0,0,3572.0,17,17
44.0,4224,0.0,840.0,0.0,200.0,1040.0,1060,0,1060,6,1976.0,572.0,100,110,0,0,0,0,0,2100.0,43,43
72.0,8246,0.0,188.0,668.0,204.0,1060.0,1060,0,1060,6,1968.0,270.0,406,90,0,0,0,0,0,2120.0,51,18
110.0,14230,640.0,0.0,0.0,1566.0,1566.0,1600,0,1600,7,2007.0,890.0,0,56,0,0,0,0,0,3166.0,12,12
60.0,7200,0.0,234.0,486.0,180.0,900.0,900,0,900,5,2005.0,576.0,222,32,0,0,0,0,0,1800.0,68,19
98.0,11478,200.0,1218.0,0.0,486.0,1704.0,1704,0,1704,7,2008.0,772.0,0,50,0,0,0,0,0,3408.0,12,11
47.0,16321,0.0,1277.0,0.0,207.0,1484.0,1600,0,1600,6,1957.0,319.0,288,258,0,0,0,0,0,3084.0,62,22
60.0,6324,0.0,0.0,0.0,520.0,520.0,520,0,520,4,1920.0,240.0,49,0,87,0,0,0,0,1040.0,92,69
50.0,8500,0.0,0.0,0.0,649.0,649.0,649,0,1317,6,1920.0,250.0,0,54,172,0,0,0,0,1966.0,99,69
72.0,8544,0.0,0.0,0.0,1228.0,1228.0,1228,0,1228,6,1966.0,271.0,0,65,0,0,0,0,0,2456.0,53,13
85.0,11049,0.0,0.0,0.0,1234.0,1234.0,1234,0,1234,7,2007.0,484.0,0,30,0,0,0,0,0,2468.0,12,12
70.0,10552,0.0,1018.0,0.0,380.0,1398.0,1700,0,1700,6,1959.0,447.0,0,38,0,0,0,0,0,3098.0,60,60
60.0,7313,246.0,1153.0,0.0,408.0,1561.0,1561,0,1561,6,2005.0,556.0,203,47,0,0,0,0,0,3122.0,14,14
108.0,13418,132.0,0.0,0.0,1117.0,1117.0,1132,0,2452,9,2004.0,691.0,113,32,0,0,0,0,0,3569.0,15,14
112.0,10859,0.0,0.0,0.0,1097.0,1097.0,1097,0,1097,6,1995.0,672.0,392,64,0,0,0,0,0,2194.0,25,24
74.0,8532,650.0,1213.0,0.0,84.0,1297.0,1297,0,1297,5,1954.0,498.0,0,0,0,0,0,0,0,2594.0,65,29
68.0,7922,0.0,731.0,0.0,326.0,1057.0,1057,0,1057,5,1953.0,246.0,0,52,0,0,0,0,0,2114.0,66,12
65.0,6040,0.0,0.0,0.0,0.0,0.0,1152,0,1152,6,0.0,0.0,0,0,0,0,0,0,0,1152.0,64,64
84.0,8658,101.0,643.0,0.0,445.0,1088.0,1324,0,1324,6,1965.0,440.0,0,138,0,0,0,0,0,2412.0,54,54
115.0,16905,0.0,967.0,0.0,383.0,1350.0,1328,0,1328,5,1959.0,308.0,0,104,0,0,0,0,0,2678.0,60,60
67.0,9180,0.0,747.0,93.0,0.0,840.0,884,0,884,5,1983.0,504.0,240,0,0,0,0,0,0,1724.0,36,36
70.0,9200,0.0,280.0,491.0,167.0,938.0,938,0,938,5,1977.0,308.0,145,0,0,0,0,0,0,1876.0,44,39
70.0,7945,0.0,179.0,506.0,465.0,1150.0,1150,0,1150,6,1959.0,300.0,0,0,0,0,0,0,0,2300.0,60,60
61.0,7658,412.0,456.0,0.0,1296.0,1752.0,1752,0,1752,6,2005.0,576.0,196,82,0,0,0,0,0,3504.0,14,14
48.0,12822,0.0,1351.0,0.0,83.0,1434.0,1518,0,2149,6,2003.0,670.0,168,43,0,0,198,0,0,3583.0,16,16
84.0,11096,0.0,24.0,0.0,1632.0,1656.0,1656,0,1656,7,2006.0,826.0,0,146,0,0,0,0,0,3312.0,13,13
33.0,4456,0.0,0.0,0.0,736.0,736.0,736,0,1452,8,0.0,0.0,0,0,102,0,0,0,0,2188.0,99,11
66.0,7742,0.0,763.0,0.0,192.0,955.0,955,0,955,6,1966.0,386.0,0,0,0,0,0,0,0,1910.0,53,53
64.0,13869,0.0,182.0,0.0,612.0,794.0,794,0,1470,6,1997.0,388.0,0,75,0,0,0,0,0,2264.0,22,22
52.0,6240,0.0,0.0,0.0,816.0,816.0,816,360,1176,6,1985.0,528.0,112,0,0,0,0,0,400,1632.0,85,69
110.0,8472,0.0,104.0,712.0,0.0,816.0,816,0,816,5,1963.0,516.0,106,0,0,0,0,0,0,1632.0,56,56
68.0,50271,0.0,1810.0,0.0,32.0,1842.0,1842,0,1842,5,1981.0,894.0,857,72,0,0,0,0,0,3684.0,38,32
60.0,7134,0.0,384.0,0.0,0.0,384.0,1360,0,1360,6,1962.0,572.0,0,50,0,0,0,0,0,1744.0,64,64
100.0,10175,272.0,490.0,0.0,935.0,1425.0,1425,0,1425,7,1964.0,576.0,0,0,0,407,0,0,0,2850.0,55,55
24.0,2645,456.0,649.0,0.0,321.0,970.0,983,0,1739,7,1999.0,480.0,115,0,0,0,0,0,0,2709.0,20,19
